acronym,color_hex_triplet,graph_order,id,name,parent_structure_id,st_level,structure_id_path
AId1,f2f1f0,248,996,"Agranular insular area, dorsal part, layer 1",104,,/997/8/567/688/695/315/95/104/996/
AId2/3,f2f1f0,249,328,"Agranular insular area, dorsal part, layer 2/3",104,,/997/8/567/688/695/315/95/104/328/
AId5,f2f1f0,250,1101,"Agranular insular area, dorsal part, layer 5",104,,/997/8/567/688/695/315/95/104/1101/
AId6a,f2f1f0,251,783,"Agranular insular area, dorsal part, layer 6a",104,,/997/8/567/688/695/315/95/104/783/
AId6b,f2f1f0,252,831,"Agranular insular area, dorsal part, layer 6b",104,,/997/8/567/688/695/315/95/104/831/
AIp,f2f1f0,253,111,"Agranular insular area, posterior part",95,,/997/8/567/688/695/315/95/111/
AIp1,f2f1f0,254,120,"Agranular insular area, posterior part, layer 1",111,,/997/8/567/688/695/315/95/111/120/
AIp2/3,f2f1f0,255,163,"Agranular insular area, posterior part, layer 2/3",111,,/997/8/567/688/695/315/95/111/163/
AIp5,f2f1f0,256,344,"Agranular insular area, posterior part, layer 5",111,,/997/8/567/688/695/315/95/111/344/
AIp6a,f2f1f0,257,314,"Agranular insular area, posterior part, layer 6a",111,,/997/8/567/688/695/315/95/111/314/
AIp6b,f2f1f0,258,355,"Agranular insular area, posterior part, layer 6b",111,,/997/8/567/688/695/315/95/111/355/
AIv,f2f1f0,259,119,"Agranular insular area, ventral part",95,,/997/8/567/688/695/315/95/119/
AIv1,f2f1f0,260,704,"Agranular insular area, ventral part, layer 1",119,,/997/8/567/688/695/315/95/119/704/
AIv2/3,f2f1f0,261,694,"Agranular insular area, ventral part, layer 2/3",119,,/997/8/567/688/695/315/95/119/694/
AIv5,f2f1f0,262,800,"Agranular insular area, ventral part, layer 5",119,,/997/8/567/688/695/315/95/119/800/
AIv6a,f2f1f0,263,675,"Agranular insular area, ventral part, layer 6a",119,,/997/8/567/688/695/315/95/119/675/
AIv6b,f2f1f0,264,699,"Agranular insular area, ventral part, layer 6b",119,,/997/8/567/688/695/315/95/119/699/
RSP,f2f1f0,265,254,Retrosplenial area,315,,/997/8/567/688/695/315/254/
RSPagl,f2f1f0,266,894,"Retrosplenial area, lateral agranular part",254,,/997/8/567/688/695/315/254/894/
RSPagl1,f2f1f0,267,671,"Retrosplenial area, lateral agranular part, layer 1",894,,/997/8/567/688/695/315/254/894/671/
RSPagl2/3,f2f1f0,268,965,"Retrosplenial area, lateral agranular part, layer 2/3",894,,/997/8/567/688/695/315/254/894/965/
RSPagl5,f2f1f0,269,774,"Retrosplenial area, lateral agranular part, layer 5",894,,/997/8/567/688/695/315/254/894/774/
RSPagl6a,f2f1f0,270,906,"Retrosplenial area, lateral agranular part, layer 6a",894,,/997/8/567/688/695/315/254/894/906/
RSPagl6b,f2f1f0,271,279,"Retrosplenial area, lateral agranular part, layer 6b",894,,/997/8/567/688/695/315/254/894/279/
RSPd,f2f1f0,272,879,"Retrosplenial area, dorsal part",254,,/997/8/567/688/695/315/254/879/
RSPd1,f2f1f0,273,442,"Retrosplenial area, dorsal part, layer 1",879,,/997/8/567/688/695/315/254/879/442/
RSPd2/3,f2f1f0,274,434,"Retrosplenial area, dorsal part, layer 2/3",879,,/997/8/567/688/695/315/254/879/434/
RSPd4,f2f1f0,275,545,"Retrosplenial area, dorsal part, layer 4",879,,/997/8/567/688/695/315/254/879/545/
RSPd5,f2f1f0,276,610,"Retrosplenial area, dorsal part, layer 5",879,,/997/8/567/688/695/315/254/879/610/
RSPd6a,f2f1f0,277,274,"Retrosplenial area, dorsal part, layer 6a",879,,/997/8/567/688/695/315/254/879/274/
RSPd6b,f2f1f0,278,330,"Retrosplenial area, dorsal part, layer 6b",879,,/997/8/567/688/695/315/254/879/330/
RSPv,f2f1f0,279,886,"Retrosplenial area, ventral part",254,,/997/8/567/688/695/315/254/886/
RSPv1,f2f1f0,280,542,"Retrosplenial area, ventral part, layer 1",886,,/997/8/567/688/695/315/254/886/542/
RSPv2,f2f1f0,281,606,"Retrosplenial area, ventral part, layer 2",886,,/997/8/567/688/695/315/254/886/606/
RSPv2/3,f2f1f0,282,430,"Retrosplenial area, ventral part, layer 2/3",886,,/997/8/567/688/695/315/254/886/430/
RSPv5,f2f1f0,283,687,"Retrosplenial area, ventral part, layer 5",886,,/997/8/567/688/695/315/254/886/687/
RSPv6a,f2f1f0,284,590,"Retrosplenial area, ventral part, layer 6a",886,,/997/8/567/688/695/315/254/886/590/
RSPv6b,f2f1f0,285,622,"Retrosplenial area, ventral part, layer 6b",886,,/997/8/567/688/695/315/254/886/622/
PTLp,f2f1f0,286,22,Posterior parietal association areas,315,,/997/8/567/688/695/315/22/
PTLp1,f2f1f0,287,532,"Posterior parietal association areas, layer 1",22,,/997/8/567/688/695/315/22/532/
PTLp2/3,f2f1f0,288,241,"Posterior parietal association areas, layer 2/3",22,,/997/8/567/688/695/315/22/241/
PTLp4,f2f1f0,289,635,"Posterior parietal association areas, layer 4",22,,/997/8/567/688/695/315/22/635/
PTLp5,f2f1f0,290,683,"Posterior parietal association areas, layer 5",22,,/997/8/567/688/695/315/22/683/
PTLp6a,f2f1f0,291,308,"Posterior parietal association areas, layer 6a",22,,/997/8/567/688/695/315/22/308/
PTLp6b,f2f1f0,292,340,"Posterior parietal association areas, layer 6b",22,,/997/8/567/688/695/315/22/340/
TEa,f2f1f0,293,541,Temporal association areas,315,,/997/8/567/688/695/315/541/
TEa1,f2f1f0,294,97,"Temporal association areas, layer 1",541,,/997/8/567/688/695/315/541/97/
TEa2/3,f2f1f0,295,1127,"Temporal association areas, layer 2/3",541,,/997/8/567/688/695/315/541/1127/
TEa4,f2f1f0,296,234,"Temporal association areas, layer 4",541,,/997/8/567/688/695/315/541/234/
TEa5,f2f1f0,297,289,"Temporal association areas, layer 5",541,,/997/8/567/688/695/315/541/289/
TEa6a,f2f1f0,298,729,"Temporal association areas, layer 6a",541,,/997/8/567/688/695/315/541/729/
TEa6b,f2f1f0,299,786,"Temporal association areas, layer 6b",541,,/997/8/567/688/695/315/541/786/
PERI,f2f1f0,300,922,Perirhinal area,315,,/997/8/567/688/695/315/922/
PERI6a,f2f1f0,301,335,"Perirhinal area, layer 6a",922,,/997/8/567/688/695/315/922/335/
PERI6b,f2f1f0,302,368,"Perirhinal area, layer 6b",922,,/997/8/567/688/695/315/922/368/
PERI1,f2f1f0,303,540,"Perirhinal area, layer 1",922,,/997/8/567/688/695/315/922/540/
PERI5,f2f1f0,304,692,"Perirhinal area, layer 5",922,,/997/8/567/688/695/315/922/692/
PERI2/3,f2f1f0,305,888,"Perirhinal area, layer 2/3",922,,/997/8/567/688/695/315/922/888/
ECT,f2f1f0,306,895,Ectorhinal area,315,,/997/8/567/688/695/315/895/
ECT1,f2f1f0,307,836,Ectorhinal area/Layer 1,895,,/997/8/567/688/695/315/895/836/
ECT2/3,f2f1f0,308,427,Ectorhinal area/Layer 2/3,895,,/997/8/567/688/695/315/895/427/
ECT5,f2f1f0,309,988,Ectorhinal area/Layer 5,895,,/997/8/567/688/695/315/895/988/
ECT6a,f2f1f0,310,977,Ectorhinal area/Layer 6a,895,,/997/8/567/688/695/315/895/977/
ECT6b,f2f1f0,311,1045,Ectorhinal area/Layer 6b,895,,/997/8/567/688/695/315/895/1045/
OLF,f2f1f0,312,698,Olfactory areas,695,,/997/8/567/688/695/698/
MOB,f2f1f0,313,507,Main olfactory bulb,698,,/997/8/567/688/695/698/507/
MOBgl,f2f1f0,314,212,"Main olfactory bulb, glomerular layer",507,,/997/8/567/688/695/698/507/212/
MOBgr,f2f1f0,315,220,"Main olfactory bulb, granule layer",507,,/997/8/567/688/695/698/507/220/
MOBipl,f2f1f0,316,228,"Main olfactory bulb, inner plexiform layer",507,,/997/8/567/688/695/698/507/228/
MOBmi,f2f1f0,317,236,"Main olfactory bulb, mitral layer",507,,/997/8/567/688/695/698/507/236/
MOBopl,f2f1f0,318,244,"Main olfactory bulb, outer plexiform layer",507,,/997/8/567/688/695/698/507/244/
AOB,f2f1f0,319,151,Accessory olfactory bulb,698,,/997/8/567/688/695/698/151/
AOBgl,f2f1f0,320,188,"Accessory olfactory bulb, glomerular layer",151,,/997/8/567/688/695/698/151/188/
AOBgr,f2f1f0,321,196,"Accessory olfactory bulb, granular layer",151,,/997/8/567/688/695/698/151/196/
AOBmi,f2f1f0,322,204,"Accessory olfactory bulb, mitral layer",151,,/997/8/567/688/695/698/151/204/
AON,f2f1f0,323,159,Anterior olfactory nucleus,698,,/997/8/567/688/695/698/159/
AONd,f2f1f0,324,167,"Anterior olfactory nucleus, dorsal part",159,,/997/8/567/688/695/698/159/167/
AONe,f2f1f0,325,175,"Anterior olfactory nucleus, external part",159,,/997/8/567/688/695/698/159/175/
AONl,f2f1f0,326,183,"Anterior olfactory nucleus, lateral part",159,,/997/8/567/688/695/698/159/183/
AONm,f2f1f0,327,191,"Anterior olfactory nucleus, medial part",159,,/997/8/567/688/695/698/159/191/
AONpv,f2f1f0,328,199,"Anterior olfactory nucleus, posteroventral part",159,,/997/8/567/688/695/698/159/199/
AON1,f2f1f0,329,160,"Anterior olfactory nucleus, layer 1",159,,/997/8/567/688/695/698/159/160/
AON2,f2f1f0,330,168,"Anterior olfactory nucleus, layer 2",159,,/997/8/567/688/695/698/159/168/
TT,f2f1f0,331,589,Taenia tecta,698,,/997/8/567/688/695/698/589/
TTd,f2f1f0,332,597,"Taenia tecta, dorsal part",589,,/997/8/567/688/695/698/589/597/
TTd1-4,f2f1f0,333,297,"Taenia tecta, dorsal part, layers 1-4",597,,/997/8/567/688/695/698/589/597/297/
TTd1,f2f1f0,334,1034,"Taenia tecta, dorsal part, layer 1",597,,/997/8/567/688/695/698/589/597/1034/
TTd2,f2f1f0,335,1042,"Taenia tecta, dorsal part, layer 2",597,,/997/8/567/688/695/698/589/597/1042/
TTd3,f2f1f0,336,1050,"Taenia tecta, dorsal part, layer 3",597,,/997/8/567/688/695/698/589/597/1050/
TTd4,f2f1f0,337,1059,"Taenia tecta, dorsal part, layer 4",597,,/997/8/567/688/695/698/589/597/1059/
TTv,f2f1f0,338,605,"Taenia tecta, ventral part",589,,/997/8/567/688/695/698/589/605/
TTv1-3,f2f1f0,339,306,"Taenia tecta, ventral part, layers 1-3",605,,/997/8/567/688/695/698/589/605/306/
TTv1,f2f1f0,340,1067,"Taenia tecta, ventral part, layer 1",605,,/997/8/567/688/695/698/589/605/1067/
TTv2,f2f1f0,341,1075,"Taenia tecta, ventral part, layer 2",605,,/997/8/567/688/695/698/589/605/1075/
TTv3,f2f1f0,342,1082,"Taenia tecta, ventral part, layer 3",605,,/997/8/567/688/695/698/589/605/1082/
DP,f2f1f0,343,814,Dorsal peduncular area,698,,/997/8/567/688/695/698/814/
DP1,f2f1f0,344,496,"Dorsal peduncular area, layer 1",814,,/997/8/567/688/695/698/814/496/
DP2,f2f1f0,345,535,"Dorsal peduncular area, layer 2",814,,/997/8/567/688/695/698/814/535/
DP2/3,f2f1f0,346,360,"Dorsal peduncular area, layer 2/3",814,,/997/8/567/688/695/698/814/360/
DP5,f2f1f0,347,646,"Dorsal peduncular area, layer 5",814,,/997/8/567/688/695/698/814/646/
DP6a,f2f1f0,348,267,"Dorsal peduncular area, layer 6a",814,,/997/8/567/688/695/698/814/267/
PIR,f2f1f0,349,961,Piriform area,698,,/997/8/567/688/695/698/961/
PIR1-3,f2f1f0,350,152,"Piriform area, layers 1-3",961,,/997/8/567/688/695/698/961/152/
PIR1,f2f1f0,351,276,"Piriform area, molecular layer",961,,/997/8/567/688/695/698/961/276/
PIR2,f2f1f0,352,284,"Piriform area, pyramidal layer",961,,/997/8/567/688/695/698/961/284/
PIR3,f2f1f0,353,291,"Piriform area, polymorph layer",961,,/997/8/567/688/695/698/961/291/
NLOT,f2f1f0,354,619,Nucleus of the lateral olfactory tract,698,,/997/8/567/688/695/698/619/
NLOT1-3,f2f1f0,355,392,"Nucleus of the lateral olfactory tract, layers 1-3",619,,/997/8/567/688/695/698/619/392/
NLOT1,f2f1f0,356,260,"Nucleus of the lateral olfactory tract, molecular layer",619,,/997/8/567/688/695/698/619/260/
NLOT2,f2f1f0,357,268,"Nucleus of the lateral olfactory tract, pyramidal layer",619,,/997/8/567/688/695/698/619/268/
NLOT3,f2f1f0,358,1139,"Nucleus of the lateral olfactory tract, layer 3",619,,/997/8/567/688/695/698/619/1139/
COA,f2f1f0,359,631,Cortical amygdalar area,698,,/997/8/567/688/695/698/631/
COAa,f2f1f0,360,639,"Cortical amygdalar area, anterior part",631,,/997/8/567/688/695/698/631/639/
COAa1,f2f1f0,361,192,"Cortical amygdalar area, anterior part, layer 1",639,,/997/8/567/688/695/698/631/639/192/
COAa2,f2f1f0,362,200,"Cortical amygdalar area, anterior part, layer 2",639,,/997/8/567/688/695/698/631/639/200/
COAa3,f2f1f0,363,208,"Cortical amygdalar area, anterior part, layer 3",639,,/997/8/567/688/695/698/631/639/208/
COAp,f2f1f0,364,647,"Cortical amygdalar area, posterior part",631,,/997/8/567/688/695/698/631/647/
COApl,f2f1f0,365,655,"Cortical amygdalar area, posterior part, lateral zone",647,,/997/8/567/688/695/698/631/647/655/
COApl1-2,f2f1f0,366,584,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2",655,,/997/8/567/688/695/698/631/647/655/584/
COApl1-3,f2f1f0,367,376,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3",655,,/997/8/567/688/695/698/631/647/655/376/
COApl1,f2f1f0,368,216,"Cortical amygdalar area, posterior part, lateral zone, layer 1",655,,/997/8/567/688/695/698/631/647/655/216/
COApl2,f2f1f0,369,224,"Cortical amygdalar area, posterior part, lateral zone, layer 2",655,,/997/8/567/688/695/698/631/647/655/224/
COApl3,f2f1f0,370,232,"Cortical amygdalar area, posterior part, lateral zone, layer 3",655,,/997/8/567/688/695/698/631/647/655/232/
COApm,f2f1f0,371,663,"Cortical amygdalar area, posterior part, medial zone",647,,/997/8/567/688/695/698/631/647/663/
COApm1-2,f2f1f0,372,592,"Cortical amygdalar area, posterior part, medial zone, layers 1-2",663,,/997/8/567/688/695/698/631/647/663/592/
COApm1-3,f2f1f0,373,383,"Cortical amygdalar area, posterior part, medial zone, layers 1-3",663,,/997/8/567/688/695/698/631/647/663/383/
COApm1,f2f1f0,374,240,"Cortical amygdalar area, posterior part, medial zone, layer 1",663,,/997/8/567/688/695/698/631/647/663/240/
COApm2,f2f1f0,375,248,"Cortical amygdalar area, posterior part, medial zone, layer 2",663,,/997/8/567/688/695/698/631/647/663/248/
COApm3,f2f1f0,376,256,"Cortical amygdalar area, posterior part, medial zone, layer 3",663,,/997/8/567/688/695/698/631/647/663/256/
PAA,f2f1f0,377,788,Piriform-amygdalar area,698,,/997/8/567/688/695/698/788/
PAA1-3,f2f1f0,378,400,"Piriform-amygdalar area, layers 1-3",788,,/997/8/567/688/695/698/788/400/
PAA1,f2f1f0,379,408,"Piriform-amygdalar area, molecular layer",788,,/997/8/567/688/695/698/788/408/
PAA2,f2f1f0,380,416,"Piriform-amygdalar area, pyramidal layer",788,,/997/8/567/688/695/698/788/416/
PAA3,f2f1f0,381,424,"Piriform-amygdalar area, polymorph layer",788,,/997/8/567/688/695/698/788/424/
TR,f2f1f0,382,566,Postpiriform transition area,698,,/997/8/567/688/695/698/566/
TR1-3,f2f1f0,383,517,"Postpiriform transition area, layers 1-3",566,,/997/8/567/688/695/698/566/517/
TR1,f2f1f0,384,1140,"Postpiriform transition area, layers 1",566,,/997/8/567/688/695/698/566/1140/
TR2,f2f1f0,385,1141,"Postpiriform transition area, layers 2",566,,/997/8/567/688/695/698/566/1141/
TR3,f2f1f0,386,1142,"Postpiriform transition area, layers 3",566,,/997/8/567/688/695/698/566/1142/
HPF,f2f1f0,387,1089,Hippocampal formation,695,,/997/8/567/688/695/1089/
HIP,f2f1f0,388,1080,Hippocampal region,1089,,/997/8/567/688/695/1089/1080/
CA,f2f1f0,389,375,Ammon's horn,1080,,/997/8/567/688/695/1089/1080/375/
CA1,f2f1f0,390,382,Field CA1,375,,/997/8/567/688/695/1089/1080/375/382/
CA1slm,f2f1f0,391,391,"Field CA1, stratum lacunosum-moleculare",382,,/997/8/567/688/695/1089/1080/375/382/391/
CA1so,f2f1f0,392,399,"Field CA1, stratum oriens",382,,/997/8/567/688/695/1089/1080/375/382/399/
CA1sp,f2f1f0,393,407,"Field CA1, pyramidal layer",382,,/997/8/567/688/695/1089/1080/375/382/407/
CA1sr,f2f1f0,394,415,"Field CA1, stratum radiatum",382,,/997/8/567/688/695/1089/1080/375/382/415/
CA2,f2f1f0,395,423,Field CA2,375,,/997/8/567/688/695/1089/1080/375/423/
CA2slm,f2f1f0,396,431,"Field CA2, stratum lacunosum-moleculare",423,,/997/8/567/688/695/1089/1080/375/423/431/
CA2so,f2f1f0,397,438,"Field CA2, stratum oriens",423,,/997/8/567/688/695/1089/1080/375/423/438/
CA2sp,f2f1f0,398,446,"Field CA2, pyramidal layer",423,,/997/8/567/688/695/1089/1080/375/423/446/
CA2sr,f2f1f0,399,454,"Field CA2, stratum radiatum",423,,/997/8/567/688/695/1089/1080/375/423/454/
CA3,f2f1f0,400,463,Field CA3,375,,/997/8/567/688/695/1089/1080/375/463/
CA3slm,f2f1f0,401,471,"Field CA3, stratum lacunosum-moleculare",463,,/997/8/567/688/695/1089/1080/375/463/471/
CA3slu,f2f1f0,402,479,"Field CA3, stratum lucidum",463,,/997/8/567/688/695/1089/1080/375/463/479/
CA3so,f2f1f0,403,486,"Field CA3, stratum oriens",463,,/997/8/567/688/695/1089/1080/375/463/486/
CA3sp,f2f1f0,404,495,"Field CA3, pyramidal layer",463,,/997/8/567/688/695/1089/1080/375/463/495/
CA3sr,f2f1f0,405,504,"Field CA3, stratum radiatum",463,,/997/8/567/688/695/1089/1080/375/463/504/
DG,f2f1f0,406,726,Dentate gyrus,1080,,/997/8/567/688/695/1089/1080/726/
DG-mo,f2f1f0,407,10703,"Dentate gyrus, molecular layer",726,,/997/8/567/688/695/1089/1080/726/10703/
DG-po,f2f1f0,408,10704,"Dentate gyrus, polymorph layer",726,,/997/8/567/688/695/1089/1080/726/10704/
DG-sg,f2f1f0,409,632,"Dentate gyrus, granule cell layer",726,,/997/8/567/688/695/1089/1080/726/632/
DG-sgz,f2f1f0,410,10702,"Dentate gyrus, subgranular zone",726,,/997/8/567/688/695/1089/1080/726/10702/
DGcr,f2f1f0,411,734,Dentate gyrus crest,726,,/997/8/567/688/695/1089/1080/726/734/
DGcr-mo,f2f1f0,412,742,"Dentate gyrus crest, molecular layer",734,,/997/8/567/688/695/1089/1080/726/734/742/
DGcr-po,f2f1f0,413,751,"Dentate gyrus crest, polymorph layer",734,,/997/8/567/688/695/1089/1080/726/734/751/
DGcr-sg,f2f1f0,414,758,"Dentate gyrus crest, granule cell layer",734,,/997/8/567/688/695/1089/1080/726/734/758/
DGlb,f2f1f0,415,766,Dentate gyrus lateral blade,726,,/997/8/567/688/695/1089/1080/726/766/
DGlb-mo,f2f1f0,416,775,"Dentate gyrus lateral blade, molecular layer",766,,/997/8/567/688/695/1089/1080/726/766/775/
DGlb-po,f2f1f0,417,782,"Dentate gyrus lateral blade, polymorph layer",766,,/997/8/567/688/695/1089/1080/726/766/782/
DGlb-sg,f2f1f0,418,790,"Dentate gyrus lateral blade, granule cell layer",766,,/997/8/567/688/695/1089/1080/726/766/790/
DGmb,f2f1f0,419,799,Dentate gyrus medial blade,726,,/997/8/567/688/695/1089/1080/726/799/
DGmb-mo,f2f1f0,420,807,"Dentate gyrus medial blade, molecular layer",799,,/997/8/567/688/695/1089/1080/726/799/807/
DGmb-po,f2f1f0,421,815,"Dentate gyrus medial blade, polymorph layer",799,,/997/8/567/688/695/1089/1080/726/799/815/
DGmb-sg,f2f1f0,422,823,"Dentate gyrus medial blade, granule cell layer",799,,/997/8/567/688/695/1089/1080/726/799/823/
FC,f2f1f0,423,982,Fasciola cinerea,1080,8,/997/8/567/688/695/1089/1080/982/
IG,f2f1f0,424,19,Induseum griseum,1080,,/997/8/567/688/695/1089/1080/19/
RHP,f2f1f0,425,822,Retrohippocampal region,1089,,/997/8/567/688/695/1089/822/
ENT,f2f1f0,426,909,Entorhinal area,822,,/997/8/567/688/695/1089/822/909/
ENTl,f2f1f0,427,918,"Entorhinal area, lateral part",909,,/997/8/567/688/695/1089/822/909/918/
ENTl1,f2f1f0,428,1121,"Entorhinal area, lateral part, layer 1",918,,/997/8/567/688/695/1089/822/909/918/1121/
ENTl2,f2f1f0,429,20,"Entorhinal area, lateral part, layer 2",918,,/997/8/567/688/695/1089/822/909/918/20/
ENTl2/3,f2f1f0,430,999,"Entorhinal area, lateral part, layer 2/3",918,,/997/8/567/688/695/1089/822/909/918/999/
ENTl2a,f2f1f0,431,715,"Entorhinal area, lateral part, layer 2a",918,,/997/8/567/688/695/1089/822/909/918/715/
ENTl2b,f2f1f0,432,764,"Entorhinal area, lateral part, layer 2b",918,,/997/8/567/688/695/1089/822/909/918/764/
ENTl3,f2f1f0,433,52,"Entorhinal area, lateral part, layer 3",918,,/997/8/567/688/695/1089/822/909/918/52/
ENTl4,f2f1f0,434,92,"Entorhinal area, lateral part, layer 4",918,,/997/8/567/688/695/1089/822/909/918/92/
ENTl4/5,f2f1f0,435,312,"Entorhinal area, lateral part, layer 4/5",918,,/997/8/567/688/695/1089/822/909/918/312/
ENTl5,f2f1f0,436,139,"Entorhinal area, lateral part, layer 5",918,,/997/8/567/688/695/1089/822/909/918/139/
ENTl5/6,f2f1f0,437,387,"Entorhinal area, lateral part, layer 5/6",918,,/997/8/567/688/695/1089/822/909/918/387/
ENTl6a,f2f1f0,438,28,"Entorhinal area, lateral part, layer 6a",918,,/997/8/567/688/695/1089/822/909/918/28/
ENTl6b,f2f1f0,439,60,"Entorhinal area, lateral part, layer 6b",918,,/997/8/567/688/695/1089/822/909/918/60/
ENTm,f2f1f0,440,926,"Entorhinal area, medial part, dorsal zone",909,,/997/8/567/688/695/1089/822/909/926/
ENTm1,f2f1f0,441,526,"Entorhinal area, medial part, dorsal zone, layer 1",926,,/997/8/567/688/695/1089/822/909/926/526/
ENTm2,f2f1f0,442,543,"Entorhinal area, medial part, dorsal zone, layer 2",926,,/997/8/567/688/695/1089/822/909/926/543/
ENTm2a,f2f1f0,443,468,"Entorhinal area, medial part, dorsal zone, layer 2a",926,,/997/8/567/688/695/1089/822/909/926/468/
ENTm2b,f2f1f0,444,508,"Entorhinal area, medial part, dorsal zone, layer 2b",926,,/997/8/567/688/695/1089/822/909/926/508/
ENTm3,f2f1f0,445,664,"Entorhinal area, medial part, dorsal zone, layer 3",926,,/997/8/567/688/695/1089/822/909/926/664/
ENTm4,f2f1f0,446,712,"Entorhinal area, medial part, dorsal zone, layer 4",926,,/997/8/567/688/695/1089/822/909/926/712/
ENTm5,f2f1f0,447,727,"Entorhinal area, medial part, dorsal zone, layer 5",926,,/997/8/567/688/695/1089/822/909/926/727/
ENTm5/6,f2f1f0,448,550,"Entorhinal area, medial part, dorsal zone, layer 5/6",926,,/997/8/567/688/695/1089/822/909/926/550/
ENTm6,f2f1f0,449,743,"Entorhinal area, medial part, dorsal zone, layer 6",926,,/997/8/567/688/695/1089/822/909/926/743/
ENTmv,f2f1f0,450,934,"Entorhinal area, medial part, ventral zone",909,,/997/8/567/688/695/1089/822/909/934/
ENTmv1,f2f1f0,451,259,"Entorhinal area, medial part, ventral zone, layer 1",934,,/997/8/567/688/695/1089/822/909/934/259/
ENTmv2,f2f1f0,452,324,"Entorhinal area, medial part, ventral zone, layer 2",934,,/997/8/567/688/695/1089/822/909/934/324/
ENTmv3,f2f1f0,453,371,"Entorhinal area, medial part, ventral zone, layer 3",934,,/997/8/567/688/695/1089/822/909/934/371/
ENTmv4,f2f1f0,454,419,"Entorhinal area, medial part, ventral zone, layer 4",934,,/997/8/567/688/695/1089/822/909/934/419/
ENTmv5/6,f2f1f0,455,1133,"Entorhinal area, medial part, ventral zone, layer 5/6",934,,/997/8/567/688/695/1089/822/909/934/1133/
PAR,f2f1f0,456,843,Parasubiculum,822,,/997/8/567/688/695/1089/822/843/
PAR1,f2f1f0,457,10693,"Parasubiculum, layer 1",843,,/997/8/567/688/695/1089/822/843/10693/
PAR2,f2f1f0,458,10694,"Parasubiculum, layer 2",843,,/997/8/567/688/695/1089/822/843/10694/
PAR3,f2f1f0,459,10695,"Parasubiculum, layer 3",843,,/997/8/567/688/695/1089/822/843/10695/
POST,f2f1f0,460,1037,Postsubiculum,822,,/997/8/567/688/695/1089/822/1037/
POST1,f2f1f0,461,10696,"Postsubiculum, layer 1",1037,,/997/8/567/688/695/1089/822/1037/10696/
POST2,f2f1f0,462,10697,"Postsubiculum, layer 2",1037,,/997/8/567/688/695/1089/822/1037/10697/
POST3,f2f1f0,463,10698,"Postsubiculum, layer 3",1037,,/997/8/567/688/695/1089/822/1037/10698/
PRE,f2f1f0,464,1084,Presubiculum,822,,/997/8/567/688/695/1089/822/1084/
PRE1,f2f1f0,465,10699,"Presubiculum, layer 1",1084,,/997/8/567/688/695/1089/822/1084/10699/
PRE2,f2f1f0,466,10700,"Presubiculum, layer 2",1084,,/997/8/567/688/695/1089/822/1084/10700/
PRE3,f2f1f0,467,10701,"Presubiculum, layer 3",1084,,/997/8/567/688/695/1089/822/1084/10701/
SUB,f2f1f0,468,502,Subiculum,822,,/997/8/567/688/695/1089/822/502/
SUBd,f2f1f0,469,509,"Subiculum, dorsal part",502,,/997/8/567/688/695/1089/822/502/509/
SUBd-m,f2f1f0,470,829,"Subiculum, dorsal part, molecular layer",509,,/997/8/567/688/695/1089/822/502/509/829/
SUBd-sp,f2f1f0,471,845,"Subiculum, dorsal part, pyramidal layer",509,,/997/8/567/688/695/1089/822/502/509/845/
SUBd-sr,f2f1f0,472,837,"Subiculum, dorsal part, stratum radiatum",509,,/997/8/567/688/695/1089/822/502/509/837/
SUBv,f2f1f0,473,518,"Subiculum, ventral part",502,,/997/8/567/688/695/1089/822/502/518/
SUBv-m,f2f1f0,474,853,"Subiculum, ventral part, molecular layer",518,,/997/8/567/688/695/1089/822/502/518/853/
SUBv-sp,f2f1f0,475,870,"Subiculum, ventral part, pyramidal layer",518,,/997/8/567/688/695/1089/822/502/518/870/
SUBv-sr,f2f1f0,476,861,"Subiculum, ventral part, stratum radiatum",518,,/997/8/567/688/695/1089/822/502/518/861/
CTXsp,f2f1f0,477,703,Cortical subplate,688,,/997/8/567/688/703/
6b,f2f1f0,478,16,"Layer 6b, isocortex",703,,/997/8/567/688/703/16/
CLA,f2f1f0,479,583,Claustrum,703,,/997/8/567/688/703/583/
EP,f2f1f0,480,942,Endopiriform nucleus,703,,/997/8/567/688/703/942/
EPd,f2f1f0,481,952,"Endopiriform nucleus, dorsal part",942,,/997/8/567/688/703/942/952/
EPv,f2f1f0,482,966,"Endopiriform nucleus, ventral part",942,,/997/8/567/688/703/942/966/
LA,f2f1f0,483,131,Lateral amygdalar nucleus,703,,/997/8/567/688/703/131/
BLA,f2f1f0,484,295,Basolateral amygdalar nucleus,703,,/997/8/567/688/703/295/
BLAa,f2f1f0,485,303,"Basolateral amygdalar nucleus, anterior part",295,,/997/8/567/688/703/295/303/
BLAp,f2f1f0,486,311,"Basolateral amygdalar nucleus, posterior part",295,,/997/8/567/688/703/295/311/
BLAv,f2f1f0,487,451,"Basolateral amygdalar nucleus, ventral part",295,,/997/8/567/688/703/295/451/
BMA,f2f1f0,488,319,Basomedial amygdalar nucleus,703,,/997/8/567/688/703/319/
BMAa,f2f1f0,489,327,"Basomedial amygdalar nucleus, anterior part",319,,/997/8/567/688/703/319/327/
BMAp,f2f1f0,490,334,"Basomedial amygdalar nucleus, posterior part",319,,/997/8/567/688/703/319/334/
